,DAV 97 I,Gruppe 1,Gruppe 2,Gruppe 3,Gruppe 4
15,0.749,-,0.5362,1.1493,1.8411
16,1.0288,-,0.7364,1.5786,2.5287
17,1.3064,-,0.9352,2.0045,3.2111
18,1.5749,-,1.1451,2.4459,3.9181
19,1.8206,-,1.344,2.8623,4.5852
20,2.0282,-,1.5199,3.2292,5.173
21,2.1829,-,1.6482,3.5337,5.6607
22,2.2678,-,1.7062,3.7576,6.0193
23,2.2807,-,1.7062,3.8824,6.2193
24,2.2807,-,1.7062,3.9157,6.2727
25,2.2807,-,1.7062,3.9157,6.2727
26,2.2807,1.2045,1.7062,3.9157,6.2727
27,2.2807,1.2045,1.7062,3.9157,6.2727
28,2.2807,1.2045,1.7062,3.9362,6.3056
29,2.2807,1.2045,1.7062,4.0231,6.4447
30,2.2807,1.2045,1.7483,4.1429,6.6367
31,2.2807,1.2045,1.8238,4.316,6.9139
32,2.2807,1.2045,1.9317,4.5555,7.2976
33,2.2807,1.2045,2.0559,4.8158,7.7146
34,2.2807,1.2045,2.2261,5.142,8.2371
35,2.3012,1.3062,2.4361,5.514,8.8329
36,2.4604,1.457,2.6789,5.9083,9.4647
37,2.6587,1.6492,2.9795,6.3709,10.2057
38,2.852,1.8525,3.2791,6.7784,10.8585
39,3.0383,2.0686,3.5819,7.1348,11.4293
40,3.2306,2.3039,3.9009,7.4727,11.9707
41,3.4725,2.5872,4.2874,7.8986,12.6529
42,3.7716,2.9227,4.7517,8.4408,13.5215
43,4.1007,3.2607,5.2119,8.9946,14.4087
44,4.4404,3.5945,5.6819,9.6214,15.4127
45,4.7767,3.8973,6.1391,10.3457,16.573
46,5.1541,4.2023,6.6539,11.2613,18.0397
47,5.6249,4.5584,7.311,12.4432,19.9331
48,6.2273,5.0022,8.1805,13.9384,22.3282
49,7.0534,5.5967,9.3815,16.0104,25.6474
50,8.1259,6.3532,10.9595,18.7372,30.0155
51,9.5007,7.3074,13.0079,22.2789,35.6891
52,11.2013,8.468,15.5804,26.7268,42.8143
53,13.2062,9.6649,18.3095,31.3163,50.1663
54,15.5535,11.0163,21.4751,36.6446,58.7017
55,18.2793,12.535,25.1091,42.763,68.5031
56,21.3377,14.1812,29.1274,49.5252,79.3355
57,24.692,15.9305,33.4571,56.8037,90.9951
58,28.2059,17.7761,38.1174,64.9855,104.1018
59,31.7913,19.6253,42.8051,73.2385,117.3224
60,35.3828,21.4656,47.4182,81.3671,130.3437
61,40.3322,24.1396,53.7453,92.4208,148.0509
62,45.4595,26.9645,60.177,103.6096,165.9745
63,51.0343,30.2713,67.5568,116.3156,186.3286
64,57.0642,33.848,75.5389,130.0587,208.344

