,DAV 97 I,Gruppe 1,Gruppe 2,Gruppe 3,Gruppe 4
15,0.9245,-,0.8811,1.3884,2.1764
16,0.9363,-,0.8925,1.4063,2.2043
17,0.9464,-,0.9021,1.4215,2.2283
18,0.9568,-,0.9196,1.449,2.2714
19,0.9704,-,0.9407,1.4822,2.3234
20,0.9898,-,0.9675,1.5246,2.3898
21,1.0111,-,0.9779,1.614,2.53
22,1.0388,-,0.9942,1.7226,2.7002
23,1.0775,-,1.0688,1.7226,2.7002
24,1.119,-,1.1089,1.8131,2.8304
25,1.1571,-,1.1485,1.8991,2.9607
26,1.2028,1.014,1.2766,2.0771,3.2428
27,1.2566,1.0253,1.3715,2.2048,3.4431
28,1.3239,1.0626,1.4767,2.3571,3.6782
29,1.3958,1.1206,1.5802,2.5162,3.9208
30,1.4808,1.2072,1.6902,2.6929,4.1886
31,1.5882,1.3237,1.8235,2.9024,4.5058
32,1.723,1.4744,1.9854,3.1525,4.8854
33,1.8848,1.653,2.1663,3.4261,5.3016
34,2.0537,1.8487,2.3515,3.6978,5.7162
35,2.2212,2.0526,2.53,3.9537,6.1089
36,2.3908,2.259,2.7154,4.2044,6.4778
37,2.5592,2.4568,2.9145,4.4532,6.8162
38,2.7505,2.6677,3.1513,4.7443,7.1997
39,2.9852,2.9146,3.4475,5.1198,7.7019
40,3.2737,3.21,3.8096,5.6014,8.3694
41,3.6134,3.5544,4.2264,6.1904,9.2244
42,4.014,3.9737,4.6616,6.9302,10.4135
43,4.4868,4.4687,5.1045,7.8583,12.0308
44,5.0157,4.9971,5.608,8.9765,14.0085
45,5.6054,5.5116,6.2757,10.299,16.2432
46,6.2894,6.0492,7.1487,11.8669,18.782
47,7.1055,6.6644,8.2234,13.7653,21.8646
48,8.0782,7.3461,9.5084,15.9971,25.501
49,9.2114,8.0995,11.0322,18.5931,29.7457
50,10.5028,8.9463,12.7907,21.436,34.4152
51,11.9495,9.8476,14.7844,24.5884,39.6129
52,13.5635,10.8086,17.0265,28.0486,45.3391
53,15.3174,11.9126,19.6537,32.0157,51.9187
54,17.1766,13.0442,22.4742,36.1511,58.8046
55,19.0882,14.1359,25.3851,40.5002,66.0692
56,21.5467,15.592,29.0512,45.9083,75.0922
57,24.257,17.1996,33.0695,51.7075,84.7856
58,27.2921,19.389,38.2288,59.1025,97.1254
59,30.6883,21.9879,44.1431,67.4495,111.059
60,34.4857,25.0933,50.8499,76.9257,126.8405
61,38.728,28.7358,58.4471,87.8121,144.9243
62,43.4633,32.9458,67.01,100.6771,166.1566
63,48.7439,36.9485,75.1513,112.9088,186.3437
64,54.6268,41.4079,84.2215,126.5361,208.834

