		0 - 5	5 - 10	10 - 15	15 - 20	20 - 25	25 - 30	30 - 35	35 - 40	40 - 45	45 - 50	50 - 55	55 - 60	60 - 65	65 - 70	70 - 75	75 - 80	80 - 85	85 - 90	90 - 95	95 +
2009	m	1745	1870	2035	2211	2513	2521	2393	2659	3511	3579	3056	2684	2121	2348	2186	1327	845	362	80	24
2009	w	1654	1777	1929	2102	2413	2454	2335	2581	3353	3448	3000	2743	2191	2537	2553	1773	1468	981	264	109
2010	m	1731	1829	2029	2115	2530	2497	2439	2507	3378	3620	3147	2708	2289	2110	2273	1397	887	378	98	24
2010	w	1639	1735	1926	2013	2426	2429	2386	2444	3239	3476	3085	2759	2367	2280	2640	1839	1467	983	320	103
2011	m	1721	1798	1996	2079	2491	2497	2473	2396	3225	3635	3240	2755	2407	1949	2318	1489	910	397	117	22
2011	w	1631	1704	1895	1979	2387	2423	2422	2344	3104	3485	3175	2794	2498	2102	2679	1940	1452	975	377	94
2012	m	1706	1781	1947	2067	2427	2504	2506	2351	3039	3619	3331	2808	2481	1929	2264	1592	920	422	132	21
2012	w	1617	1688	1849	1968	2329	2424	2452	2304	2935	3470	3259	2832	2584	2078	2610	2056	1434	971	420	85
2013	m	1695	1768	1906	2053	2345	2536	2522	2359	2824	3562	3433	2877	2527	1926	2194	1715	916	461	142	20
2013	w	1605	1677	1810	1956	2253	2450	2467	2313	2742	3419	3352	2883	2642	2071	2522	2200	1408	979	450	81
2014	m	1693	1747	1872	2047	2265	2560	2530	2382	2636	3469	3509	2961	2554	1970	2090	1809	963	494	149	23
2014	w	1604	1656	1779	1950	2177	2470	2469	2335	2573	3336	3416	2953	2674	2114	2395	2305	1452	985	464	89
2015	m	1694	1734	1832	2044	2174	2586	2515	2435	2491	3343	3554	3053	2579	2129	1880	1887	1023	522	158	29
2015	w	1605	1642	1738	1949	2094	2491	2450	2390	2439	3225	3446	3039	2692	2285	2154	2389	1516	992	469	108
2016	m	1696	1725	1803	2012	2141	2552	2520	2473	2385	3196	3573	3145	2627	2240	1741	1928	1096	537	168	34
2016	w	1607	1635	1709	1919	2063	2456	2448	2429	2342	3092	3457	3129	2728	2413	1988	2427	1605	986	470	124
2017	m	1699	1711	1787	1964	2131	2492	2531	2509	2343	3014	3559	3236	2681	2312	1727	1884	1175	544	181	37
2017	w	1609	1622	1694	1874	2053	2402	2452	2461	2304	2926	3443	3213	2766	2497	1969	2365	1705	977	471	134
2018	m	1700	1701	1775	1923	2118	2411	2565	2527	2353	2803	3505	3338	2748	2357	1730	1829	1269	545	200	40
2018	w	1610	1610	1682	1835	2042	2327	2479	2476	2314	2734	3393	3306	2818	2556	1965	2288	1828	963	479	141
2019	m	1701	1699	1753	1890	2112	2331	2589	2535	2376	2618	3415	3413	2831	2385	1775	1746	1345	580	215	42
2019	w	1611	1609	1661	1805	2036	2251	2499	2479	2336	2567	3312	3370	2887	2588	2009	2176	1921	1003	485	147
2020	m	1700	1701	1741	1850	2107	2240	2614	2520	2429	2475	3292	3458	2921	2411	1921	1573	1408	622	229	46
2020	w	1610	1611	1648	1764	2034	2168	2520	2460	2391	2434	3203	3400	2972	2607	2174	1959	1997	1058	493	154
2021	m	1696	1703	1733	1820	2075	2206	2580	2525	2467	2371	3149	3478	3012	2459	2024	1462	1442	671	236	50
2021	w	1606	1613	1641	1735	2003	2137	2486	2458	2430	2338	3071	3411	3061	2643	2297	1813	2033	1128	492	159
2022	m	1689	1706	1719	1805	2027	2196	2519	2536	2503	2330	2971	3466	3101	2512	2092	1456	1410	723	240	55
2022	w	1599	1615	1628	1719	1957	2127	2431	2462	2462	2301	2907	3399	3145	2682	2379	1799	1981	1202	490	162
2023	m	1678	1708	1708	1793	1986	2181	2439	2570	2522	2340	2764	3415	3200	2578	2136	1466	1371	783	243	61
2023	w	1589	1617	1617	1708	1918	2114	2357	2490	2478	2311	2718	3350	3237	2733	2436	1801	1918	1291	486	167
2024	m	1664	1709	1708	1772	1952	2175	2358	2593	2530	2363	2583	3329	3275	2658	2164	1512	1314	835	262	67
2024	w	1576	1618	1617	1687	1887	2107	2281	2510	2481	2333	2552	3270	3300	2802	2470	1847	1829	1364	515	172
2025	m	1646	1708	1709	1759	1912	2170	2267	2619	2516	2416	2442	3210	3320	2746	2192	1639	1186	879	286	72
2025	w	1559	1617	1618	1674	1846	2106	2198	2531	2462	2388	2421	3163	3331	2887	2490	2002	1650	1425	551	177
2026	m	1626	1704	1712	1751	1883	2138	2234	2585	2521	2455	2341	3072	3341	2834	2239	1729	1108	903	311	75
2026	w	1540	1614	1620	1668	1817	2075	2167	2497	2461	2427	2327	3035	3343	2975	2526	2117	1533	1454	593	178
2027	m	1605	1697	1714	1737	1868	2090	2223	2525	2532	2491	2302	2900	3331	2921	2291	1790	1110	881	337	77
2027	w	1520	1607	1623	1655	1801	2029	2157	2443	2465	2460	2290	2873	3332	3057	2566	2195	1528	1415	634	179
2028	m	1582	1686	1716	1727	1856	2049	2209	2445	2566	2510	2313	2699	3283	3017	2355	1831	1125	859	366	80
2028	w	1498	1597	1625	1644	1790	1990	2145	2368	2493	2476	2300	2686	3285	3148	2617	2250	1537	1372	683	180
2029	m	1559	1672	1717	1727	1835	2016	2203	2364	2590	2518	2336	2523	3203	3090	2432	1860	1169	828	394	88
2029	w	1476	1583	1626	1643	1770	1959	2138	2293	2513	2479	2323	2524	3208	3212	2686	2284	1586	1314	726	194
2030	m	1537	1655	1716	1728	1822	1976	2198	2274	2615	2505	2389	2388	3090	3136	2516	1889	1271	749	417	97
2030	w	1455	1567	1625	1644	1757	1918	2136	2210	2534	2460	2378	2395	3104	3243	2769	2306	1721	1188	764	210
2031	m	1515	1635	1713	1730	1814	1947	2166	2240	2581	2510	2428	2290	2958	3158	2601	1934	1343	706	430	107
2031	w	1435	1548	1621	1647	1750	1889	2105	2179	2500	2459	2417	2302	2978	3256	2855	2343	1822	1112	781	226
2032	m	1495	1613	1705	1733	1801	1932	2118	2230	2522	2521	2464	2253	2794	3151	2684	1984	1394	713	419	115
2032	w	1416	1527	1615	1649	1737	1874	2059	2169	2446	2464	2449	2266	2821	3247	2937	2383	1893	1116	757	241
2033	m	1476	1590	1695	1735	1790	1920	2078	2216	2442	2556	2483	2265	2601	3108	2776	2044	1429	731	410	126
2033	w	1398	1506	1604	1651	1726	1863	2020	2157	2372	2492	2465	2277	2638	3203	3026	2434	1944	1134	735	258
2034	m	1458	1568	1681	1736	1790	1899	2044	2210	2363	2580	2492	2288	2433	3034	2847	2115	1457	768	398	137
2034	w	1381	1484	1591	1652	1726	1842	1989	2150	2297	2512	2469	2300	2479	3128	3089	2501	1977	1181	709	278
2035	m	1441	1545	1663	1735	1791	1886	2005	2206	2272	2606	2479	2341	2304	2929	2892	2193	1485	836	361	147
2035	w	1365	1463	1574	1651	1727	1829	1949	2148	2214	2533	2451	2355	2353	3028	3121	2582	2001	1285	642	296
2036	m	1425	1524	1643	1732	1794	1879	1976	2173	2239	2572	2485	2380	2211	2806	2915	2272	1526	886	344	154
2036	w	1349	1442	1555	1648	1729	1822	1920	2118	2183	2499	2450	2394	2263	2907	3136	2667	2038	1363	608	307
2037	m	1409	1503	1622	1724	1797	1865	1961	2126	2230	2513	2497	2416	2176	2651	2912	2349	1570	922	352	151
2037	w	1334	1423	1535	1641	1732	1809	1904	2072	2174	2446	2455	2426	2229	2754	3129	2746	2078	1419	618	300
2038	m	1394	1484	1599	1714	1799	1855	1949	2086	2216	2434	2531	2435	2189	2470	2875	2434	1622	948	366	151
2038	w	1320	1405	1514	1631	1734	1798	1893	2033	2162	2372	2483	2443	2240	2576	3088	2833	2128	1460	637	297
2039	m	1380	1467	1576	1700	1800	1854	1928	2052	2210	2355	2555	2444	2213	2312	2810	2501	1685	971	390	150
2039	w	1307	1388	1492	1617	1734	1798	1873	2002	2155	2297	2503	2446	2263	2422	3018	2895	2192	1491	674	295
2040	m	1368	1450	1554	1682	1799	1856	1916	2013	2206	2266	2581	2432	2265	2191	2715	2544	1752	995	426	141
2040	w	1295	1372	1471	1601	1734	1799	1860	1962	2153	2215	2524	2429	2318	2300	2923	2928	2268	1515	736	276
2041	m	1356	1433	1532	1662	1795	1859	1908	1984	2174	2234	2549	2439	2304	2104	2603	2569	1821	1027	452	138
